coarse_class,fine class,number_of_tokens,vocab_size
HUM,ind,16,16
DESC,def,6,6
HUM,desc,5,5
HUM,ind,10,9
DESC,desc,8,8
DESC,desc,17,16
HUM,ind,20,17
HUM,gr,16,13
NUM,money,15,15
NUM,perc,18,17
LOC,other,9,8
DESC,manner,15,14
NUM,count,22,21
NUM,count,8,8
ENTY,substance,7,7
ENTY,other,16,16
HUM,ind,22,22
ENTY,animal,14,13
NUM,date,9,9
DESC,def,5,5
DESC,desc,8,8
LOC,country,10,10
ENTY,cremat,9,9
DESC,desc,16,15
ENTY,word,15,14
NUM,period,12,11
LOC,other,7,7
LOC,city,7,7
HUM,ind,7,7
NUM,period,8,8
LOC,country,8,8
LOC,other,5,5
DESC,reason,26,22
DESC,manner,8,8
LOC,mount,6,6
DESC,desc,12,11
DESC,desc,9,9
NUM,count,15,14
ENTY,other,9,9
ENTY,word,8,8
ENTY,product,7,7
NUM,count,7,7
ENTY,dismed,7,7
NUM,count,6,6
ENTY,food,11,10
DESC,def,5,5
ENTY,instru,7,7
HUM,ind,11,11
ENTY,techmeth,9,9
HUM,ind,14,14
HUM,gr,13,13
DESC,desc,8,8
NUM,date,8,8
LOC,other,7,7
ENTY,other,12,12
HUM,ind,10,10
DESC,def,8,8
LOC,state,8,8
LOC,state,9,9
ABBR,abb,9,9
NUM,date,10,9
HUM,ind,5,5
ENTY,substance,10,9
LOC,other,6,6
ENTY,animal,9,9
NUM,count,9,9
ENTY,veh,12,11
HUM,ind,9,9
LOC,other,11,11
NUM,other,9,8
ENTY,other,11,11
DESC,manner,7,7
NUM,date,18,18
NUM,count,11,11
ENTY,substance,6,6
ENTY,other,9,9
ENTY,food,5,5
HUM,desc,6,6
ENTY,substance,8,8
LOC,other,7,7
HUM,ind,13,13
LOC,country,11,11
DESC,reason,10,9
DESC,desc,5,5
ENTY,other,8,8
ENTY,lang,5,5
ENTY,substance,6,6
HUM,ind,8,8
NUM,count,8,8
ENTY,termeq,7,7
NUM,count,9,9
HUM,ind,25,23
LOC,city,12,12
DESC,def,8,8
DESC,def,7,7
NUM,count,15,15
HUM,ind,10,10
HUM,ind,10,10
DESC,desc,9,9
HUM,ind,12,12
DESC,reason,7,7
HUM,ind,8,8
HUM,ind,9,9
ENTY,symbol,9,9
HUM,ind,9,9
NUM,count,11,11
NUM,period,15,14
HUM,gr,13,13
ABBR,exp,6,6
ENTY,color,5,5
HUM,gr,12,12
NUM,count,8,8
DESC,desc,9,9
NUM,date,7,7
LOC,other,8,8
LOC,country,9,9
ENTY,food,15,15
DESC,manner,6,6
NUM,money,9,9
HUM,desc,6,6
LOC,other,10,10
NUM,count,11,11
LOC,other,5,5
ENTY,cremat,8,8
ENTY,other,13,12
NUM,temp,12,12
NUM,period,6,6
LOC,other,15,13
DESC,reason,12,12
LOC,country,12,12
DESC,desc,11,11
DESC,def,6,6
LOC,city,10,9
ENTY,other,12,12
ENTY,cremat,17,17
DESC,reason,12,12
HUM,title,8,8
ENTY,food,12,11
HUM,gr,9,9
ENTY,sport,18,17
LOC,other,16,15
DESC,reason,4,4
NUM,count,13,13
NUM,dist,8,8
HUM,ind,12,12
NUM,date,8,8
HUM,gr,14,14
NUM,count,14,12
LOC,other,8,8
NUM,money,13,12
NUM,dist,18,18
ENTY,food,12,12
HUM,ind,10,9
HUM,ind,10,9
HUM,ind,19,18
DESC,desc,11,11
DESC,def,5,5
HUM,gr,12,10
HUM,ind,11,11
NUM,volsize,11,10
ENTY,termeq,18,16
NUM,count,11,11
LOC,other,18,18
NUM,count,13,12
NUM,money,11,11
LOC,other,9,9
DESC,reason,9,9
ENTY,other,9,9
HUM,ind,31,30
HUM,ind,5,5
LOC,other,10,10
DESC,reason,5,5
HUM,ind,9,9
ENTY,body,7,7
DESC,def,7,7
LOC,other,12,11
ENTY,animal,6,6
HUM,ind,7,7
LOC,other,7,7
NUM,count,15,15
ENTY,food,10,9
LOC,other,7,7
LOC,other,10,10
DESC,reason,11,10
DESC,desc,10,10
ENTY,termeq,9,9
NUM,date,11,11
ENTY,termeq,12,12
ENTY,substance,7,7
HUM,ind,14,13
ENTY,cremat,10,10
HUM,ind,16,14
HUM,ind,20,19
NUM,period,9,9
NUM,weight,9,9
HUM,ind,10,10
ENTY,cremat,8,8
NUM,dist,6,6
NUM,weight,7,7
ENTY,dismed,7,7
DESC,def,4,4
ENTY,sport,9,9
LOC,city,7,7
ABBR,exp,12,11
NUM,dist,12,12
HUM,desc,5,5
DESC,def,5,5
HUM,desc,5,5
NUM,dist,11,10
LOC,other,9,8
LOC,other,4,4
DESC,reason,9,9
LOC,state,9,8
HUM,ind,8,8
DESC,def,5,5
HUM,ind,11,10
ENTY,other,6,6
HUM,ind,8,8
HUM,title,7,7
NUM,count,19,18
NUM,count,8,8
DESC,desc,9,9
LOC,other,17,16
HUM,ind,11,11
HUM,ind,12,12
NUM,count,12,12
DESC,desc,8,7
ENTY,animal,12,10
ENTY,other,17,16
DESC,desc,10,9
LOC,city,15,13
ENTY,dismed,7,7
LOC,other,7,7
NUM,money,7,7
LOC,mount,11,10
LOC,mount,13,13
NUM,count,8,8
ENTY,plant,15,14
ENTY,other,10,9
HUM,gr,10,10
HUM,ind,25,19
HUM,ind,23,21
NUM,count,11,10
HUM,ind,7,7
ENTY,lang,11,11
ENTY,event,13,11
DESC,manner,8,8
HUM,ind,9,9
LOC,city,8,8
NUM,other,9,8
HUM,ind,10,10
DESC,def,7,7
HUM,ind,4,4
ABBR,exp,6,6
LOC,other,11,11
NUM,date,8,8
LOC,country,8,8
NUM,period,13,12
ENTY,food,9,9
ENTY,dismed,7,7
HUM,ind,9,9
ENTY,termeq,6,6
DESC,desc,11,11
ENTY,cremat,13,12
NUM,date,7,7
ENTY,other,10,10
NUM,date,8,8
ENTY,animal,8,8
HUM,ind,5,5
DESC,reason,10,10
ENTY,color,9,9
HUM,ind,7,7
ENTY,animal,13,12
ENTY,animal,14,12
ENTY,cremat,10,10
HUM,gr,12,12
LOC,city,7,7
NUM,weight,7,7
NUM,volsize,7,7
ENTY,other,18,13
ENTY,event,19,18
HUM,ind,6,6
HUM,ind,10,10
NUM,period,12,11
LOC,state,9,9
DESC,manner,7,7
NUM,money,9,9
DESC,def,5,5
DESC,reason,8,8
ENTY,sport,12,12
DESC,manner,6,6
DESC,def,6,6
HUM,ind,12,12
LOC,other,12,11
HUM,ind,13,13
DESC,manner,9,9
HUM,ind,9,9
DESC,def,8,8
ENTY,other,14,14
ENTY,other,12,12
ENTY,word,15,13
NUM,ord,15,15
NUM,count,14,13
NUM,date,15,14
ENTY,animal,21,18
NUM,period,8,8
DESC,manner,7,7
DESC,manner,9,9
ENTY,cremat,11,11
LOC,other,13,12
HUM,ind,11,11
ENTY,dismed,8,8
DESC,desc,15,15
ENTY,termeq,13,12
NUM,date,6,6
NUM,date,10,9
LOC,country,5,5
NUM,count,9,9
ENTY,sport,10,9
ENTY,food,13,13
ABBR,exp,7,7
DESC,def,8,8
DESC,def,4,4
LOC,other,13,13
ENTY,cremat,10,9
DESC,manner,9,9
NUM,ord,10,9
LOC,other,8,8
DESC,manner,11,11
NUM,date,8,8
HUM,ind,9,9
LOC,state,9,8
DESC,def,4,4
DESC,reason,8,8
HUM,title,6,6
LOC,country,14,14
LOC,other,13,13
ENTY,sport,12,12
DESC,manner,7,7
NUM,date,5,5
LOC,other,6,6
ENTY,color,18,17
ENTY,substance,8,8
HUM,ind,15,13
ENTY,other,15,15
LOC,country,12,12
HUM,ind,6,6
HUM,ind,9,9
DESC,reason,10,10
DESC,desc,12,11
ENTY,cremat,8,8
ENTY,letter,10,10
HUM,ind,4,4
DESC,reason,5,5
ENTY,animal,5,5
NUM,date,11,11
LOC,other,9,9
NUM,dist,10,9
ENTY,word,8,8
DESC,manner,11,10
HUM,ind,18,16
DESC,manner,8,8
LOC,other,10,9
ENTY,veh,12,11
HUM,ind,14,14
DESC,def,6,6
LOC,other,17,16
HUM,gr,21,17
DESC,desc,6,6
NUM,money,9,9
DESC,def,6,6
HUM,ind,12,12
LOC,other,9,9
ENTY,other,13,13
HUM,ind,19,17
HUM,ind,11,11
DESC,manner,5,5
NUM,count,8,8
ENTY,cremat,9,9
ENTY,other,10,10
HUM,ind,12,12
DESC,manner,9,9
ENTY,cremat,7,7
NUM,date,8,8
NUM,count,8,8
LOC,other,10,10
HUM,ind,11,10
HUM,ind,21,21
ENTY,color,8,8
DESC,desc,12,11
HUM,ind,8,8
ENTY,animal,13,13
HUM,gr,9,9
DESC,desc,14,13
HUM,ind,5,5
HUM,ind,8,7
NUM,count,17,17
ENTY,religion,7,7
NUM,count,11,11
HUM,ind,14,13
ABBR,exp,4,4
NUM,other,8,8
LOC,other,9,9
DESC,desc,11,9
LOC,city,15,15
NUM,count,7,7
ABBR,exp,4,4
ENTY,other,12,9
NUM,code,10,10
DESC,reason,16,15
DESC,reason,23,20
ABBR,exp,18,17
LOC,other,8,8
HUM,gr,9,9
NUM,count,8,8
ENTY,termeq,8,8
ENTY,sport,9,9
ENTY,other,27,25
DESC,desc,9,8
HUM,ind,11,10
DESC,def,5,5
LOC,other,8,8
HUM,ind,11,11
LOC,other,11,11
HUM,ind,11,11
DESC,manner,9,9
LOC,other,8,8
NUM,count,6,6
LOC,city,10,10
ENTY,symbol,10,10
ENTY,food,9,9
ENTY,cremat,9,9
ENTY,food,12,12
ENTY,cremat,7,7
NUM,date,8,8
DESC,manner,5,5
LOC,other,10,10
DESC,manner,6,6
LOC,other,8,8
DESC,manner,10,10
NUM,date,8,8
ENTY,animal,11,11
DESC,reason,11,11
DESC,manner,8,8
HUM,ind,13,13
NUM,money,15,13
DESC,reason,11,11
DESC,def,6,6
DESC,desc,12,12
DESC,reason,7,7
LOC,other,15,15
DESC,manner,9,9
HUM,desc,5,5
HUM,ind,12,11
NUM,date,7,7
HUM,ind,25,21
HUM,gr,9,9
HUM,ind,6,6
ABBR,abb,16,15
HUM,ind,13,13
NUM,code,15,14
HUM,ind,13,13
HUM,ind,13,12
HUM,ind,24,21
NUM,date,6,6
ENTY,other,12,12
HUM,gr,13,13
ENTY,other,8,8
HUM,ind,12,12
DESC,manner,9,9
NUM,count,11,11
HUM,ind,13,13
DESC,def,6,6
HUM,ind,14,13
DESC,def,8,8
LOC,other,8,8
NUM,period,12,12
DESC,def,7,7
DESC,reason,14,12
HUM,ind,14,12
NUM,date,9,9
NUM,ord,11,11
HUM,gr,8,8
LOC,other,19,16
ABBR,exp,6,6
LOC,mount,5,5
DESC,def,5,5
DESC,desc,12,12
LOC,other,9,9
ENTY,dismed,8,8
ENTY,food,10,10
ENTY,event,6,6
DESC,manner,10,10
LOC,other,5,5
ENTY,cremat,11,11
NUM,money,11,11
ABBR,exp,4,4
HUM,ind,11,10
HUM,ind,7,7
LOC,city,7,7
ENTY,sport,7,7
DESC,manner,10,10
ENTY,other,11,10
LOC,other,8,8
NUM,count,9,9
ENTY,cremat,12,12
HUM,ind,12,11
HUM,ind,9,9
ENTY,cremat,9,8
NUM,count,7,7
NUM,dist,12,9
HUM,ind,12,10
HUM,ind,11,9
LOC,other,7,7
HUM,ind,9,9
ENTY,other,9,9
LOC,city,18,16
NUM,count,15,14
DESC,manner,16,16
DESC,manner,8,8
NUM,count,12,12
ENTY,other,7,7
HUM,ind,16,15
NUM,count,17,15
ENTY,food,10,10
ENTY,food,12,12
ENTY,dismed,7,7
HUM,ind,9,9
LOC,city,19,18
ENTY,sport,10,10
LOC,city,8,8
HUM,ind,13,13
ENTY,food,7,7
LOC,other,12,12
ENTY,event,9,9
DESC,def,10,10
LOC,country,10,9
LOC,other,5,5
HUM,ind,10,9
NUM,count,14,14
NUM,count,8,8
HUM,ind,14,10
HUM,ind,8,8
DESC,desc,9,8
HUM,ind,10,9
ENTY,body,8,8
HUM,ind,7,7
ENTY,dismed,7,7
NUM,perc,11,11
DESC,manner,7,7
ENTY,food,7,7
HUM,gr,9,8
NUM,money,13,13
HUM,ind,8,8
LOC,state,11,10
DESC,manner,8,8
HUM,ind,9,9
HUM,ind,8,8
HUM,ind,9,9
DESC,def,4,4
NUM,count,12,12
HUM,title,10,10
ENTY,food,9,9
ENTY,word,12,11
ENTY,other,10,9
HUM,ind,7,7
ENTY,cremat,9,9
DESC,def,5,5
HUM,ind,14,13
NUM,count,10,10
ENTY,animal,11,11
DESC,reason,11,11
HUM,gr,9,9
DESC,reason,10,10
DESC,desc,9,9
NUM,period,14,14
NUM,count,6,6
LOC,other,12,12
ENTY,dismed,7,7
NUM,period,10,10
NUM,count,9,9
HUM,ind,8,8
DESC,reason,15,14
HUM,ind,22,20
LOC,other,6,6
DESC,manner,9,9
LOC,other,15,14
NUM,count,7,7
NUM,dist,6,6
LOC,country,10,10
NUM,date,6,6
HUM,ind,11,11
ENTY,cremat,21,20
LOC,other,9,9
NUM,count,8,8
DESC,manner,18,17
ENTY,food,9,9
LOC,other,5,5
DESC,manner,11,10
NUM,money,11,11
HUM,ind,8,8
HUM,ind,7,7
HUM,gr,5,5
DESC,desc,7,7
ABBR,exp,7,7
HUM,gr,12,11
HUM,ind,9,9
NUM,count,9,9
LOC,city,10,10
LOC,state,8,8
NUM,count,9,9
HUM,ind,9,9
DESC,manner,11,11
HUM,ind,16,16
ENTY,veh,11,11
NUM,count,10,10
NUM,date,5,5
HUM,ind,7,7
HUM,ind,11,11
LOC,other,6,6
HUM,ind,9,9
DESC,def,5,5
HUM,ind,14,11
LOC,other,12,11
HUM,ind,10,10
DESC,desc,7,7
HUM,ind,7,7
ENTY,other,9,9
LOC,country,8,8
NUM,period,14,13
HUM,gr,9,9
LOC,mount,13,12
NUM,other,16,13
DESC,manner,10,10
HUM,ind,11,9
NUM,count,10,10
HUM,ind,16,15
LOC,other,8,8
DESC,def,6,6
ENTY,cremat,12,12
ENTY,other,12,12
DESC,manner,8,8
NUM,code,8,8
ENTY,animal,12,11
DESC,def,4,4
ENTY,animal,18,17
DESC,desc,9,9
ENTY,word,10,10
DESC,reason,17,17
ENTY,color,13,13
LOC,other,5,5
HUM,title,9,9
HUM,ind,6,6
NUM,date,6,6
ENTY,sport,10,9
ENTY,termeq,10,10
LOC,other,10,10
DESC,desc,9,9
DESC,desc,7,7
ENTY,substance,8,8
ENTY,plant,8,8
DESC,desc,8,8
LOC,other,11,10
DESC,reason,9,9
ENTY,product,16,15
HUM,ind,6,6
LOC,country,7,7
LOC,other,7,7
NUM,count,7,7
NUM,money,10,10
ENTY,veh,9,9
LOC,country,10,10
ENTY,other,7,7
NUM,count,13,12
DESC,reason,7,7
NUM,date,7,7
ENTY,cremat,9,9
HUM,gr,15,15
ENTY,dismed,9,9
DESC,desc,13,12
DESC,manner,3,3
DESC,manner,9,8
NUM,date,8,8
HUM,ind,22,21
HUM,gr,22,22
HUM,desc,4,4
ENTY,food,6,6
ENTY,sport,11,11
DESC,def,9,8
NUM,count,11,11
LOC,city,16,16
NUM,count,9,9
LOC,other,8,7
ENTY,dismed,10,10
ENTY,other,8,8
DESC,desc,9,9
LOC,city,12,12
NUM,money,9,9
LOC,other,11,10
HUM,ind,11,10
ENTY,animal,8,8
ENTY,techmeth,13,13
ENTY,cremat,13,13
DESC,reason,8,7
DESC,desc,8,8
DESC,reason,12,12
HUM,gr,15,15
ABBR,exp,7,7
ENTY,termeq,7,7
DESC,def,6,6
NUM,count,10,10
LOC,city,12,12
HUM,ind,18,18
HUM,ind,4,4
DESC,manner,7,7
NUM,date,11,11
HUM,gr,12,12
HUM,gr,7,7
DESC,def,4,4
ENTY,other,9,9
HUM,ind,13,13
ENTY,dismed,9,9
ENTY,dismed,9,9
HUM,ind,19,18
NUM,money,12,12
LOC,country,15,14
HUM,gr,9,9
DESC,desc,7,7
NUM,other,12,12
DESC,def,7,7
DESC,desc,19,14
NUM,count,13,13
NUM,count,9,9
ENTY,sport,10,10
ENTY,other,17,17
ENTY,sport,11,11
HUM,ind,6,6
DESC,manner,16,15
ENTY,sport,19,19
LOC,country,8,8
DESC,desc,9,8
LOC,country,13,13
ENTY,cremat,9,9
ENTY,animal,11,11
HUM,ind,15,14
DESC,def,8,8
DESC,reason,17,16
HUM,ind,19,17
ABBR,exp,6,6
DESC,reason,8,7
ENTY,word,7,7
HUM,ind,7,7
ENTY,dismed,18,16
ENTY,cremat,8,8
ENTY,food,8,8
HUM,ind,8,8
HUM,title,9,9
HUM,ind,9,9
LOC,other,6,6
DESC,desc,9,8
LOC,other,14,13
NUM,date,9,8
DESC,def,4,4
LOC,city,14,13
ENTY,other,12,11
DESC,manner,6,6
ENTY,cremat,10,9
NUM,count,9,9
DESC,desc,13,12
LOC,other,8,8
HUM,ind,15,13
DESC,def,5,5
DESC,def,5,5
DESC,def,5,5
ENTY,animal,8,8
LOC,other,9,9
HUM,ind,12,12
DESC,reason,17,14
HUM,ind,6,6
HUM,ind,5,5
NUM,count,15,14
NUM,count,12,12
ENTY,other,11,11
DESC,manner,9,9
LOC,other,11,10
NUM,count,11,11
DESC,manner,10,10
HUM,ind,10,10
DESC,manner,12,12
NUM,dist,8,8
DESC,def,4,4
NUM,other,7,7
ENTY,veh,6,6
LOC,other,11,11
NUM,money,10,10
NUM,count,8,8
DESC,reason,5,5
LOC,other,9,9
HUM,ind,12,12
HUM,ind,17,15
HUM,ind,10,9
ENTY,other,8,8
NUM,count,10,10
LOC,city,10,10
HUM,ind,19,18
LOC,other,6,6
HUM,ind,14,14
LOC,city,7,7
HUM,gr,7,7
NUM,count,15,15
LOC,city,16,15
DESC,manner,11,10
ENTY,other,5,5
DESC,def,6,6
ENTY,other,16,16
HUM,gr,12,11
HUM,gr,9,9
NUM,money,8,8
LOC,country,9,9
DESC,manner,7,7
DESC,desc,9,9
NUM,date,15,14
DESC,desc,9,9
LOC,country,18,18
DESC,desc,9,8
HUM,ind,7,7
ENTY,lang,11,11
NUM,money,18,17
ABBR,abb,10,9
NUM,count,5,5
DESC,def,4,4
DESC,manner,13,13
HUM,ind,10,10
ENTY,dismed,7,7
HUM,ind,8,8
DESC,manner,9,9
DESC,manner,6,6
ENTY,food,11,10
LOC,country,6,6
HUM,ind,12,11
HUM,ind,18,15
ENTY,color,11,11
ENTY,food,11,11
DESC,manner,7,7
LOC,other,10,9
ENTY,animal,8,8
NUM,count,11,11
DESC,def,5,5
DESC,def,7,7
ENTY,termeq,11,11
NUM,date,7,7
ENTY,food,10,10
DESC,desc,16,16
NUM,count,9,9
NUM,date,8,8
NUM,date,6,6
DESC,reason,16,12
LOC,city,8,8
HUM,ind,8,8
HUM,gr,9,9
HUM,ind,20,16
LOC,other,8,8
HUM,ind,9,9
ENTY,product,9,9
HUM,ind,12,12
ENTY,product,10,9
DESC,def,5,5
NUM,count,7,7
ENTY,event,13,12
LOC,city,10,9
ENTY,cremat,12,12
LOC,other,9,9
NUM,count,14,14
NUM,period,13,12
HUM,ind,10,9
HUM,ind,8,8
NUM,volsize,7,7
LOC,country,9,9
DESC,reason,4,4
DESC,manner,12,11
DESC,def,10,9
HUM,ind,5,5
DESC,desc,10,9
NUM,other,7,7
ENTY,sport,7,7
LOC,other,13,12
ENTY,dismed,7,7
ENTY,cremat,14,14
DESC,reason,8,8
HUM,ind,11,11
ENTY,other,11,11
ENTY,body,9,8
HUM,ind,10,10
NUM,count,7,7
ENTY,other,13,12
DESC,def,7,7
HUM,ind,4,4
LOC,country,10,9
DESC,manner,6,5
HUM,gr,10,10
HUM,ind,12,11
DESC,desc,12,11
NUM,perc,18,17
HUM,ind,17,14
HUM,ind,5,5
ENTY,food,9,9
DESC,def,6,6
DESC,desc,10,10
HUM,ind,11,10
NUM,count,9,9
HUM,ind,8,8
NUM,count,14,14
LOC,other,7,7
HUM,ind,11,11
ENTY,other,6,6
DESC,manner,7,7
NUM,date,7,7
DESC,desc,5,5
DESC,manner,9,9
ENTY,sport,12,11
HUM,ind,15,11
NUM,count,16,15
HUM,ind,8,8
DESC,def,6,6
LOC,city,12,12
NUM,count,12,12
HUM,ind,4,4
DESC,def,4,4
DESC,manner,7,7
ENTY,cremat,8,8
HUM,ind,14,12
ENTY,food,9,9
ENTY,food,17,16
HUM,ind,10,10
NUM,temp,10,10
NUM,count,8,8
ENTY,sport,13,13
HUM,ind,9,9
ENTY,word,8,8
DESC,desc,9,9
LOC,other,15,15
ENTY,cremat,10,10
HUM,ind,16,16
ENTY,cremat,14,14
ENTY,techmeth,12,11
ENTY,other,8,8
HUM,ind,17,17
HUM,ind,16,16
HUM,ind,11,10
HUM,ind,25,23
HUM,ind,12,10
NUM,count,12,12
ENTY,sport,8,8
NUM,money,10,10
HUM,ind,12,12
ENTY,sport,24,20
LOC,country,10,9
HUM,ind,9,8
LOC,other,19,17
DESC,reason,8,8
HUM,title,13,11
ENTY,cremat,14,14
LOC,other,13,13
HUM,ind,7,7
HUM,gr,7,7
DESC,def,5,5
ENTY,dismed,31,25
ENTY,food,6,6
HUM,ind,10,10
HUM,ind,9,9
LOC,other,10,10
ENTY,animal,13,13
ENTY,other,7,7
DESC,def,6,6
LOC,other,13,13
LOC,other,4,4
DESC,def,7,7
DESC,def,6,6
ENTY,animal,16,16
DESC,def,5,5
ENTY,plant,7,7
LOC,other,4,4
DESC,reason,6,5
ENTY,color,14,14
DESC,reason,9,8
ENTY,techmeth,15,13
LOC,city,10,10
HUM,ind,15,14
LOC,other,24,22
ENTY,other,6,6
NUM,period,7,7
NUM,count,11,10
HUM,ind,13,11
HUM,gr,12,12
HUM,ind,11,11
HUM,ind,4,4
NUM,count,13,13
NUM,other,8,8
DESC,def,5,5
LOC,other,9,8
DESC,def,4,4
DESC,desc,10,10
ENTY,cremat,14,14
ENTY,dismed,7,7
ENTY,cremat,7,7
DESC,reason,8,8
DESC,reason,14,13
HUM,ind,16,16
DESC,manner,7,7
ENTY,termeq,24,23
ENTY,event,23,23
LOC,country,13,12
HUM,ind,8,8
LOC,city,7,7
DESC,desc,9,8
LOC,country,11,11
LOC,country,8,8
DESC,def,5,5
LOC,city,13,13
NUM,date,9,9
HUM,ind,9,8
HUM,ind,7,7
HUM,ind,7,7
ENTY,plant,16,13
NUM,date,9,9
DESC,def,6,6
DESC,desc,7,7
ENTY,food,15,15
HUM,gr,12,12
HUM,ind,10,8
HUM,ind,11,11
LOC,other,7,7
NUM,perc,10,10
LOC,other,16,14
DESC,def,9,9
DESC,manner,15,15
ENTY,veh,8,8
ENTY,dismed,9,9
DESC,desc,9,9
DESC,desc,9,9
HUM,ind,15,13
ENTY,food,6,6
NUM,money,16,15
ENTY,letter,12,11
LOC,other,23,18
NUM,volsize,7,7
ENTY,techmeth,11,11
DESC,manner,16,15
NUM,date,12,11
NUM,count,9,9
HUM,desc,4,4
HUM,ind,9,9
HUM,ind,14,14
LOC,other,9,9
HUM,ind,7,7
DESC,desc,9,9
LOC,other,11,11
DESC,def,13,12
DESC,desc,9,9
ENTY,termeq,10,9
DESC,reason,6,6
HUM,ind,7,7
DESC,def,4,4
ENTY,other,8,8
DESC,manner,7,7
ENTY,veh,16,13
LOC,other,12,12
ENTY,dismed,12,12
ENTY,techmeth,13,13
ENTY,other,10,10
NUM,count,10,10
ENTY,dismed,16,15
HUM,ind,8,8
NUM,money,12,12
HUM,ind,21,19
NUM,money,17,13
LOC,city,10,10
LOC,other,16,15
DESC,desc,12,12
ENTY,cremat,12,12
LOC,other,10,10
ENTY,cremat,11,11
NUM,count,24,21
NUM,money,8,8
HUM,ind,8,8
HUM,gr,10,9
ENTY,cremat,19,18
HUM,ind,15,15
HUM,ind,7,7
ENTY,sport,9,9
DESC,desc,12,12
LOC,other,11,11
ABBR,abb,8,8
NUM,count,10,10
HUM,ind,11,11
DESC,manner,18,15
ENTY,product,21,19
NUM,count,9,9
DESC,desc,9,9
DESC,def,4,4
ENTY,animal,13,12
LOC,city,18,15
HUM,ind,10,10
LOC,other,13,11
NUM,count,10,10
LOC,other,12,12
ENTY,symbol,8,8
DESC,def,4,4
DESC,def,7,7
NUM,count,18,18
HUM,ind,10,10
HUM,gr,9,9
ABBR,exp,10,10
NUM,date,15,15
NUM,count,9,9
LOC,other,4,4
HUM,ind,5,5
HUM,gr,10,10
HUM,ind,9,9
HUM,ind,10,10
ENTY,termeq,8,8
ENTY,other,22,21
NUM,count,11,11
HUM,ind,16,15
HUM,ind,11,11
NUM,period,9,9
LOC,other,7,7
ENTY,techmeth,9,9
DESC,def,15,14
NUM,period,9,9
ENTY,termeq,9,8
ENTY,event,11,11
LOC,state,9,9
LOC,city,11,10
DESC,reason,7,7
LOC,country,18,16
NUM,other,11,10
ENTY,substance,12,12
NUM,count,6,6
LOC,other,13,12
ENTY,cremat,14,14
HUM,title,13,12
ENTY,dismed,7,7
HUM,ind,11,10
DESC,manner,7,7
DESC,reason,12,12
DESC,desc,5,5
DESC,def,9,9
HUM,gr,9,9
DESC,def,8,8
DESC,desc,14,13
NUM,count,8,8
HUM,ind,15,14
ABBR,exp,13,12
HUM,gr,10,10
DESC,def,7,7
DESC,reason,9,9
NUM,date,11,11
DESC,manner,6,6
LOC,country,13,10
DESC,def,3,3
ABBR,exp,6,6
LOC,country,7,7
LOC,country,10,9
HUM,ind,8,7
DESC,def,4,4
ENTY,cremat,12,12
DESC,def,4,4
NUM,count,7,7
ENTY,cremat,15,15
HUM,ind,13,13
HUM,desc,4,4
ENTY,other,12,12
LOC,other,16,16
ENTY,other,14,14
DESC,def,5,5
DESC,manner,7,7
HUM,ind,12,12
NUM,count,14,14
NUM,money,11,11
LOC,other,11,10
DESC,reason,12,12
ENTY,other,10,10
HUM,ind,11,11
NUM,date,13,13
ENTY,cremat,14,12
ENTY,animal,13,13
DESC,def,6,6
HUM,gr,20,19
ENTY,dismed,9,9
ENTY,sport,9,9
NUM,count,10,10
ENTY,dismed,7,7
NUM,count,17,15
DESC,desc,13,12
ENTY,techmeth,10,10
NUM,period,12,11
NUM,money,12,12
HUM,ind,17,15
NUM,date,6,6
ENTY,cremat,14,13
DESC,def,6,6
DESC,manner,5,5
NUM,period,9,9
LOC,state,10,10
NUM,count,13,13
NUM,other,12,11
ABBR,exp,6,6
HUM,ind,9,9
HUM,gr,8,8
HUM,ind,11,10
HUM,ind,9,9
HUM,ind,14,13
ENTY,food,11,11
ENTY,cremat,11,11
ENTY,event,9,9
ABBR,exp,7,7
NUM,count,11,11
NUM,count,10,10
DESC,manner,10,10
LOC,state,9,9
HUM,ind,16,16
DESC,def,12,12
ENTY,veh,8,8
NUM,dist,6,6
DESC,def,10,10
HUM,ind,10,9
DESC,manner,11,10
NUM,count,15,15
ENTY,plant,9,9
HUM,ind,13,12
NUM,count,15,14
LOC,other,14,14
NUM,period,6,6
NUM,date,9,8
ENTY,animal,11,11
DESC,desc,8,8
LOC,country,10,10
ENTY,cremat,12,12
LOC,country,5,5
ABBR,exp,6,6
NUM,date,13,13
HUM,ind,15,15
ENTY,food,11,11
DESC,reason,7,7
ENTY,termeq,8,8
ENTY,dismed,8,8
NUM,count,8,8
DESC,def,7,7
HUM,ind,6,6
LOC,city,7,7
LOC,country,9,9
DESC,def,9,9
DESC,def,7,7
DESC,desc,12,12
NUM,temp,12,12
DESC,def,5,5
ENTY,cremat,11,11
DESC,def,5,5
DESC,manner,7,7
LOC,country,10,10
ENTY,animal,16,16
HUM,ind,7,7
LOC,city,9,9
DESC,desc,7,7
ENTY,food,11,10
DESC,manner,8,8
LOC,other,7,7
DESC,def,5,5
DESC,manner,6,6
ENTY,color,7,7
DESC,manner,14,14
ENTY,cremat,10,10
ENTY,cremat,9,9
DESC,def,5,5
HUM,ind,12,12
DESC,def,4,4
DESC,reason,9,9
ENTY,event,10,9
HUM,gr,13,13
HUM,ind,9,9
DESC,manner,9,8
HUM,ind,9,9
ENTY,cremat,10,10
DESC,def,6,6
ENTY,food,10,9
